utc_timestamp,DK_1_price_day_ahead
9752,24.73
9753,20.97
9754,20.61
9755,20.3
9756,20.08
9757,20.04
9758,19.93
9759,19.87
9760,20.1
9761,29.3
9762,35.98
9763,20.44
9764,19.93
9765,19.36
9766,18.5
9767,17.89
9768,17.93
9769,17.73
9770,17.63
9771,17.76
9772,18
9773,18.43
9774,19.69
9775,29.08
9776,36.1
9777,33.85
9778,33.59
9779,24.43
9780,21.69
9781,24.44
9782,20.08
9783,19.87
9784,20.3
9785,34.56
9786,40.36
9787,35.56
9788,19.6
9789,19.05
9790,18.5
9791,18
9792,18.42
9793,18.07
9794,17.79
9795,17.84
9796,17.92
9797,18.13
9798,17.91
9799,18.22
9800,18.34
9801,18.97
9802,19.15
9803,19.11
9804,18.87
9805,18.6
9806,18.55
9807,18.52
9808,19.21
9809,20.49
9810,20.52
9811,19.63
9812,19.11
9813,18.55
9814,18.47
9815,16.88
9816,13.06
9817,16.77
9818,16.55
9819,16.49
9820,16.62
9821,16.83
9822,16.94
9823,16.91
9824,17.13
9825,17.55
9826,17.51
9827,18.01
9828,17.69
9829,17.34
9830,16.27
9831,15.13
9832,16.96
9833,21.21
9834,19.06
9835,18.71
9836,18.28
9837,17.95
9838,17.79
9839,17.52
9840,16.57
9841,16
9842,15.97
9843,16.23
9844,12.68
9845,14.65
9846,18.56
9847,29.93
9848,29.47
9849,31.67
9850,30.16
9851,21.92
9852,20.61
9853,20.13
9854,19.6
9855,19.39
9856,20.25
9857,27.77
9858,29.44
9859,22.19
9860,19.74
9861,18.91
9862,18.47
9863,17.84
9864,18.22
9865,18.14
9866,18.09
9867,18.26
9868,18.65
9869,18.93
9870,23.86
9871,39.46
9872,42.08
9873,42.42
9874,37.23
9875,34.86
9876,31.04
9877,28.59
9878,26.21
9879,23.9
9880,25.39
9881,39.46
9882,26.93
9883,22.18
9884,19.67
9885,18.78
9886,18.25
9887,17.54
9888,14.99
9889,17.19
9890,17
9891,17.15
9892,17.52
9893,17.85
9894,18.39
9895,19.56
9896,20.66
9897,20.04
9898,19.81
9899,19.2
9900,18.9
9901,18.82
9902,18.69
9903,18.68
9904,18.75
9905,19.5
9906,19.76
9907,18.94
9908,18.49
9909,18.22
9910,17.84
9911,17.45
9912,17.94
9913,18.09
9914,18.1
9915,18.37
9916,19.02
9917,19.61
9918,20.61
9919,34.67
9920,38.6
9921,33.23
9922,25.6
9923,24.34
9924,23.77
9925,23.82
9926,22.51
9927,21.87
9928,22.72
9929,25.72
9930,25.69
9931,22.74
9932,20.26
9933,19.82
9934,19.11
9935,18.16
9936,18.49
9937,18.16
9938,18.13
9939,18.56
9940,19.07
9941,18.99
9942,20.33
9943,24.38
9944,35.68
9945,25.7
9946,24.26
9947,21.43
9948,20.88
9949,20.42
9950,20.21
9951,19.9
9952,19.82
9953,20.2
9954,20.3
9955,19.91
9956,19.04
9957,18.25
9958,17.68
9959,17.05
9960,4.04
9961,16.82
9962,11.54
9963,9.69
9964,9.52
9965,5.01
9966,5.06
9967,9.09
9968,8.69
9969,13.43
9970,16.36
9971,17
9972,16.96
9973,15.94
9974,15.77
9975,16.05
9976,16.15
9977,18.99
9978,18.56
9979,18.25
9980,18.96
9981,13.92
9982,11.79
9983,8.03
9984,9.37
9985,6.52
9986,5.09
9987,3.14
9988,0.46
9989,0.13
9990,-0.05
9991,0.13
9992,5.62
9993,10.81
9994,13.07
9995,14.94
9996,14.95
9997,10.6
9998,7.71
9999,4.95
10000,7.69
10001,17.31
10002,18.61
10003,18.2
10004,15.55
10005,16.5
10006,13.94
10007,9.31
10008,0.1
10009,0.02
10010,-0.92
10011,-0.06
10012,0.04
10013,7.63
10014,18.05
10015,20.16
10016,20.53
10017,20.4
10018,20.17
10019,19.91
10020,19.58
10021,19.28
10022,19.07
10023,19.23
10024,19.57
10025,20.27
10026,20.42
10027,20.11
10028,19.34
10029,18.75
10030,18.2
10031,17.68
10032,17.81
10033,14.28
10034,17.23
10035,17.47
10036,17.83
10037,19.09
10038,19.9
10039,21.06
10040,21.82
10041,21.21
10042,20.93
10043,20.74
10044,20.7
10045,20.63
10046,20.43
10047,20.24
10048,20.37
10049,20.96
10050,21.34
10051,20.79
10052,20.23
10053,19.5
10054,18.9
10055,17.9
10056,18.04
10057,17.06
10058,16.99
10059,17.09
10060,17.86
10061,18.92
10062,20
10063,21.29
10064,21.62
10065,21.44
10066,21.27
10067,21.04
10068,20.85
10069,20.61
10070,20.52
10071,20.52
10072,20.68
10073,21.34
10074,22.03
10075,21.41
10076,21.1
10077,20.46
10078,19.53
10079,18.83
10080,15
10081,18.86
10082,18.82
10083,19.03
10084,19.46
10085,20.82
10086,21.56
10087,35.18
10088,38.25
10089,34.44
10090,31.35
10091,29.71
10092,25.92
10093,25.39
10094,23.83
10095,23.77
10096,23.8
10097,31.16
10098,38.95
10099,35.08
10100,23.64
10101,21.2
10102,20.26
10103,19.15
10104,2.75
10105,18.46
10106,18.43
10107,18.6
10108,19.34
10109,20.29
10110,20.97
10111,26.61
10112,35.11
10113,32.41
10114,28.38
10115,23.44
10116,21.53
10117,21.03
10118,20.77
10119,20.56
10120,20.76
10121,23.7
10122,33.54
10123,22.11
10124,20.83
10125,20.26
10126,19.69
10127,19.07
10128,19.68
10129,19.42
10130,19.24
10131,19.13
10132,19.19
10133,19.52
10134,19.61
10135,19.7
10136,19.91
10137,19.94
10138,20.02
10139,19.84
10140,19.49
10141,19.18
10142,19.05
10143,19.09
10144,19.4
10145,19.86
10146,20.34
10147,19.98
10148,19.68
10149,19.32
10150,19.2
10151,18.79
10152,19.42
10153,18.39
10154,18.01
10155,17.96
10156,17.88
10157,18.03
10158,18.09
10159,18.16
10160,18.4
10161,19.02
10162,19.04
10163,19.02
